,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
305,Mecca,SA,88.77,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
306,Jinan,CN,81.0,fog,36.67,117.0,Sofitel Silver Plaza Hotel Jinan
307,Benghazi,LY,78.98,clear sky,32.12,20.07,Tibesti Hotel
308,Loralai,PK,74.73,clear sky,30.37,68.6,City Hotel. Loralai. Blochistan
309,Anadyr,RU,50.0,broken clouds,64.75,177.48,"Гостиница ""Анадырь"""
310,Safaga,EG,84.2,clear sky,26.73,33.94,Lamar Resort Abu Soma
311,Mechanicsville,US,88.0,few clouds,37.61,-77.37,Holiday Inn Express Richmond-Mechanicsville
312,Batemans Bay,AU,64.0,clear sky,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
313,Chibombo,ZM,64.49,clear sky,-14.66,28.07,Chibombo District Council Guest House
314,Bandar,ID,72.05,light rain,2.05,99.75,
315,Longyearbyen,SJ,41.0,broken clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
316,Mae Sai,TH,75.2,few clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
317,Valparaiso,CL,60.8,clear sky,-33.04,-71.63,Hotel Ultramar
318,Banda,IN,78.17,broken clouds,25.48,80.33,Hotel Comfort-Inn
319,Lasa,IT,54.0,light rain,46.62,10.7,Pension Feldgärtenhof
320,Chuy,UY,54.34,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
321,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
322,Tigil,RU,53.78,scattered clouds,57.8,158.67,Tigil'
323,Cherskiy,RU,43.47,overcast clouds,68.75,161.3,Gostinitsa
324,Talnakh,RU,48.2,fog,69.49,88.4,Talnakh Hotel
325,Vuktyl,RU,51.22,light rain,63.86,57.31,Mini-Hotel Lokomotiv
326,Sinegorye,RU,42.96,clear sky,62.08,150.48,
327,Pitimbu,BR,77.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
328,Nome,US,57.99,overcast clouds,64.5,-165.41,Dredge 7 Inn
329,Koundara,GN,73.24,overcast clouds,12.48,-13.3,
330,Sembe,CG,70.99,overcast clouds,1.65,14.58,
331,Sile,TR,75.99,clear sky,41.18,29.61,Seref Hotel
332,Ust-Omchug,RU,43.54,clear sky,61.15,149.63,
333,Bichura,RU,56.52,overcast clouds,50.59,107.6,Gostinitsa Uyut
334,Hasaki,JP,84.2,few clouds,35.73,140.83,Inubosaki Kanko Hotel
335,Ler,SS,71.74,broken clouds,8.3,30.14,
336,Sao Joao Da Barra,BR,73.04,clear sky,-21.64,-41.05,Pousada Porto De Canoas
337,Taltal,CL,55.83,few clouds,-25.4,-70.48,Residencial Karime
338,Ntungamo,UG,65.25,light rain,-0.88,29.65,The Crested Crane Bwindi Hotel
339,Leshukonskoye,RU,48.76,overcast clouds,64.9,45.76,Gostinitsa Mup Zhkkh
340,The Valley,AI,84.99,broken clouds,18.22,-63.06,CeBlue Villas & Beach Resort
341,Kushiro,JP,53.6,light intensity shower rain,42.98,144.37,東横INN釧路十字街
342,Pisco,PE,62.6,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
343,Vila Franca Do Campo,PT,75.2,few clouds,37.72,-25.43,Pestana Bahia Praia
344,Bondeno,IT,70.0,broken clouds,44.89,11.41,Locanda e Cucina il Fagiano
345,Moron,AR,55.0,broken clouds,-34.65,-58.62,Hotel Morón
346,Arroyo,ES,52.0,scattered clouds,41.61,-4.8,Hotel El Jardín de la Abadía
347,Springbok,ZA,34.39,clear sky,-29.66,17.89,Undulata Country Lodge
